		0.8	1.0	1.2	1.4	1.6	1.8	2.0	2.2	2.4	2.6	2.8	3.0	3.2	3.4	3.6	3.8	4.0	4.2	4.4	4.6	4.8	5.0	5.2	5.4	5.6	5.8	6.0	6.2	6.4	6.6	6.8	7.0	7.2	7.4	7.6	7.8	8.0	8.2	8.4	8.6	8.8	9.0	9.2	9.4	9.6	9.8	10.0	10.2	10.4	10.6	10.8	11.0	11.2	11.4	11.6	11.8	12.0	12.2	12.4	12.6	12.8	13.0	13.2	13.4	13.6	13.8	14.0	14.2	14.4	14.6	14.8	15.0	15.2	15.4	15.6	15.8	16.0	16.2	16.4	16.6	16.8	17.0	17.2	17.4	17.6	17.8	18.0	18.2	18.4	18.6	18.8	19.0	19.2	19.4	19.6	19.8	20.0	20.2	20.4	20.6	20.8	21.0	21.2	21.4	21.6	21.8	22.0	22.2	22.4	22.6	22.8	23.0	23.2	23.4	23.6	23.8	24.0	24.2	24.4	24.6	24.8	25.0	25.2	25.4	25.6	25.8	26.0	26.2	26.4	26.6	26.8	27.0	27.2	27.4	27.6	27.8	28.0	28.2	28.4	28.6	28.8	29.0	29.2	29.4	29.6	29.8	30.0
// ARIS 3000 Focus Motor Shaft Position [0…1000]																																																																													
// degC	Ppt	machine units
5	0	0	240	310	381	451	522	592	614	636	659	681	703	713	723	734	744	755	760	766	771	777	782	788	794	799	805	810	813	816	818	821	824	826	829	832	835	837	838	839	840	841	842	843	844	845	846	847	848	849	850	851	852	852	853	854	855	856	857	858	859	860	861	862	863	864	865	866	867	868	868	869	870	871	872	873	874	875	875	875	876	876	876	876	877	877	877	877	877	878	878	878	878	879	879	879	879	879	880	880	880	880	880	881	881	881	881	882	882	882	882	882	883	883	883	883	884	884	884	884	884	885	885	885	885	886	886	886	886	886	887	887	887	887	887	888	888	888	888	889	889	889	889	889	890	890	890	890
15	0	0	210	286	362	438	514	590	614	638	662	686	710	722	733	745	756	768	773	779	785	791	796	802	808	814	819	825	828	831	833	836	839	842	844	847	850	853	854	855	856	857	858	859	860	861	862	863	864	865	866	867	868	870	871	872	873	874	875	876	877	878	879	880	881	882	883	884	885	887	888	889	890	891	892	893	894	895	895	896	896	896	896	897	897	897	897	898	898	898	898	899	899	899	899	900	900	900	900	901	901	901	901	902	902	902	902	903	903	903	903	904	904	904	904	905	905	905	905	906	906	906	906	907	907	907	907	908	908	908	908	909	909	909	909	910	910	910	910	911	911	911	911	912	912	912	912	913
25	0	0	212	294	375	457	539	620	645	670	695	720	745	758	770	783	795	808	814	820	826	832	838	844	850	856	862	868	871	874	877	880	883	886	889	892	895	898	899	900	901	902	903	904	905	906	907	908	909	910	911	912	913	915	916	917	918	919	920	921	922	923	924	925	926	927	928	929	930	931	933	934	935	936	937	938	939	940	940	940	941	941	941	941	942	942	942	942	943	943	943	943	944	944	944	944	945	945	945	945	946	946	946	946	947	947	947	947	948	948	948	948	949	949	949	949	950	950	950	951	951	951	951	952	952	952	952	953	953	953	953	954	954	954	954	955	955	955	955	956	956	956	956	957	957	957	957	958
																																																																																																																																																				
5	15	0	203	275	348	421	494	566	590	613	636	659	683	694	705	715	726	737	743	748	754	760	765	771	776	782	787	793	795	798	801	803	806	809	811	814	817	820	821	822	823	824	825	826	827	828	829	830	831	832	833	834	835	836	837	838	839	840	841	842	843	844	845	846	847	848	849	850	851	852	853	854	855	856	857	858	859	860	860	860	861	861	861	861	862	862	862	862	863	863	863	863	864	864	864	864	865	865	865	865	866	866	866	866	867	867	867	867	868	868	868	868	869	869	869	869	870	870	870	870	871	871	871	871	872	872	872	872	873	873	873	873	874	874	874	874	875	875	875	875	876	876	876	876	877	877	877	877
15	15	0	175	254	333	412	491	570	594	619	643	668	692	704	716	728	740	752	758	764	770	775	781	787	793	799	804	810	813	816	819	822	825	828	831	834	837	840	841	842	843	844	845	846	847	848	850	851	852	853	854	855	856	857	858	859	860	861	862	863	864	865	867	868	869	870	871	872	873	874	875	876	877	878	879	880	881	882	883	883	883	883	884	884	884	884	885	885	885	885	886	886	886	886	887	887	887	887	888	888	888	888	889	889	889	889	890	890	890	890	891	891	891	891	892	892	892	892	893	893	893	893	894	894	894	894	895	895	895	895	896	896	896	896	897	897	897	897	898	898	898	898	899	899	899	899	900	900
25	15	0	183	267	351	435	519	603	629	656	682	708	735	747	759	771	783	795	801	807	814	820	826	832	839	845	851	857	860	863	866	869	872	875	878	881	884	888	889	890	891	892	893	894	895	897	898	899	900	901	902	903	904	906	907	908	909	910	911	912	913	915	916	917	918	919	920	921	922	924	925	926	927	928	929	930	931	933	933	933	933	934	934	934	934	935	935	935	936	936	936	936	937	937	937	938	938	938	938	939	939	939	940	940	940	940	941	941	941	942	942	942	942	943	943	943	943	944	944	944	945	945	945	945	946	946	946	947	947	947	947	948	948	948	949	949	949	949	950	950	950	951	951	951	951	952	952	952
